filename,energy
BEMLOU03_m_1_gas_xR,-1762.47239572
BEMLOU03_m_1_water_R,-1762.49203389
BEMLOU03_m_1_water_xR,-1762.50075527
BEMLOU23_m_1_gas_R,-1762.48456377
BEMLOU23_m_1_gas_xR,-1762.4866649
BEMLOU23_m_1_water_R,-1762.50269136
BEMLOU23_m_1_water_xR,-1762.50455785
BENZIE01_m_1_gas_R,-573.800855273
BENZIE01_m_1_gas_xR,-573.805085136
BENZIE01_m_1_water_R,-573.821216121
BENZIE01_m_1_water_xR,-573.824621936
BENZIE01_m_2_gas_R,-573.803464081
BENZIE01_m_2_gas_xR,-573.805105555
BENZIE01_m_2_water_R,-573.823376081
BENZIE01_m_2_water_xR,-573.824624557
BENZIE01_m_3_gas_R,-573.803606566
BENZIE01_m_3_gas_xR,-573.805085253
BENZIE01_m_3_water_R,-573.822941316
BENZIE01_m_3_water_xR,-573.824621867
BENZIE02_m_1_gas_R,-573.801793067
BENZIE02_m_1_gas_xR,-573.805085215
BENZIE02_m_1_water_R,-573.822108693
BENZIE02_m_1_water_xR,-573.824621865
BENZIE02_m_2_gas_R,-573.801507445
BENZIE02_m_2_gas_xR,-573.801607048
BENZIE02_m_2_water_R,-573.821957035
BENZIE02_m_2_water_xR,-573.822243292
BESSOJ01_m_1_gas_R,-1520.35937198
BESSOJ01_m_1_gas_xR,-1520.35937198
BESSOJ01_m_1_water_R,-1520.36344076
BESSOJ01_m_1_water_xR,-1520.36344076
BESSOJ_m_1_gas_R,-1520.35617674
BESSOJ_m_1_gas_xR,-1520.35666709
BESSOJ_m_1_water_R,-1520.35983556
BESSOJ_m_1_water_xR,-1520.36006545
BICCIZ02_m_1_gas_R,-1218.97559244
BICCIZ02_m_1_gas_xR,-1218.97658861
BICCIZ02_m_1_water_R,-1219.00031207
BICCIZ02_m_1_water_xR,-1219.00167533
BICCIZ02_m_2_gas_R,-1218.97453516
BICCIZ02_m_2_gas_xR,-1218.97658861
BICCIZ02_m_2_water_R,-1218.99915965
BICCIZ02_m_2_water_xR,-1219.00167541
BICCIZ04_m_1_gas_R,-1218.97344016
BICCIZ04_m_1_gas_xR,-1218.97606187
BICCIZ04_m_1_water_R,-1218.99818691
BICCIZ04_m_1_water_xR,-1219.00099463
BICCIZ04_m_2_gas_R,-1218.97413495
BICCIZ04_m_2_gas_xR,-1218.97606186
BICCIZ04_m_2_water_R,-1218.99816554
BICCIZ04_m_2_water_xR,-1219.00099473
BICCIZ_m_1_gas_R,-1218.97315266
BICCIZ_m_1_gas_xR,-1218.97606173
BICCIZ_m_1_water_R,-1218.99612253
BICCIZ_m_1_water_xR,-1219.00099459
BIHXIA01_m_1_gas_R,-2045.37241878
BIHXIA01_m_1_gas_xR,-2045.3737571
BIHXIA01_m_1_water_R,-2045.39804389
BIHXIA01_m_1_water_xR,-2045.39921274
BIHXIA_m_1_gas_R,-2045.37341066
BIHXIA_m_1_gas_xR,-2045.37375707
BIHXIA_m_1_water_R,-2045.39888758
BIHXIA_m_1_water_xR,-2045.39921273
BIHXIA_m_2_gas_R,-2045.37338576
BIHXIA_m_2_gas_xR,-2045.37375711
BIHXIA_m_2_water_R,-2045.39880081
BIHXIA_m_2_water_xR,-2045.3992129
BIINDO01_m_1_gas_R,-917.286495407
